User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,concatenate,textjoin,textjoin copy,textsplit,search,left,right,mid,length
1,Basic,10.00,15-01-2022,10-06-2023,United States,28,Male,Smartphone,1 Month,Basic in United States,"Basic , United States","Basic , United States",,,S,s,Sma,13
2,Basic,15,05-09-2021,22-06-2023,Canada,35,Female,Tablet,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,T,a,Tab,6
3,Basic,12,28-02-2023,27-06-2023,United Kingdom,42,Male,Smart TV,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,S,m,Sma,14
4,Basic,12,10-07-2022,26-06-2023,Australia,51,Female,Laptop,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,L,a,Lap,9
5,Basic,10,01-05-2023,28-06-2023,Germany,33,Male,Smartphone,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,S,y,Sma,7
6,Basic,15,18-03-2022,27-06-2023,France,29,Female,Smart TV,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,S,e,Sma,6
7,Basic,12,09-12-2021,25-06-2023,Brazil,46,Male,Tablet,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,T,l,Tab,6
8,Basic,10,02-04-2023,24-06-2023,Mexico,39,Female,Laptop,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,L,o,Lap,6
9,Basic,12,20-10-2022,23-06-2023,Spain,37,Male,Smartphone,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,S,n,Sma,5
10,Basic,15,07-01-2023,22-06-2023,Italy,44,Female,Smart TV,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,S,y,Sma,5
11,Basic,10,16-05-2022,22-06-2023,United States,31,Female,Smartphone,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,S,s,Sma,13
12,Basic,15,23-03-2023,28-06-2023,Canada,45,Male,Tablet,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,T,a,Tab,6
